Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
GOOS,2016-03-31,1204306,CAD,2015,FY,2016-06-06,2018-06-20,,,290830000,-145206000,145624000,-104670000,-100103000,,-4567000.0,40954000,-7996000,-7996000,32958000,,32958000,-6473000.0,26485000,,26485000,26485000
GOOS,2017-03-31,1204306,CAD,2016,FY,2017-06-06,2019-05-29,,,403800000,-191700000,212100000,-171600000,-165000000,,-6600000.0,40500000,-10000000,-10000000,30500000,,30500000,-8900000.0,21600000,,21600000,21600000
GOOS,2018-03-31,1204306,CAD,2017,FY,2018-06-15,2020-06-03,,,591200000,-243600000,347600000,-209500000,-200100000,,-9400000.0,138100000,-12900000,-12900000,125200000,,125200000,-29100000.0,96100000,,96100000,96100000
GOOS,2019-03-31,1204306,CAD,2018,FY,2019-05-29,2021-05-13,,,830500000,-313700000,516800000,-320100000,-302100000,,-18000000.0,196700000,-14200000,-14200000,182500000,,182500000,-38900000.0,143600000,,143600000,143600000
GOOS,2020-03-31,1204306,CAD,2019,FY,2020-06-03,2021-05-13,,,958100000,-364800000,593300000,-401200000,-350500000,,-50700000.0,192100000,-28400000,-28400000,163700000,,163700000,-12000000.0,151700000,,151700000,151700000
SHOP,2014-12-31,1202864,CAD,2014,FY,2015-02-17,2016-02-17,83988597.0,83988597.0,115950667,-47722634,68228033,-92093212,-63480389,-28612823.0,,-23865179,-658046,62933,-24523225,-110410.0,-24633635,,-24633635,,-24633635,-24633635
SHOP,2015-12-31,1202864,CAD,2015,FY,2016-02-17,2017-02-15,83988597.0,83988597.0,262419058,-117606721,144812337,-167515863,-116725738,-50790125.0,,-22703526,-1322114,255727,-24025640,,-24025640,,-24025640,,-24025640,-24025640
SHOP,2016-12-31,1202864,CAD,2016,FY,2017-02-15,2018-02-15,83988597.0,83988597.0,515884841,-238291809,277593032,-326838812,-228339299,-98499513.0,,-49245780,2398354,2035289,-46847426,,-46847426,,-46847426,,-46847426,-46847426
SHOP,2017-12-31,1202864,CAD,2017,FY,2018-02-15,2019-02-12,95774897.0,95774897.0,874015380,-380409267,493606113,-557416774,-380879178,-176537596.0,,-63810661,11893184,10190078,-51917477,,-51917477,,-51917477,,-51917477,-51917477
SHOP,2018-12-31,1202864,CAD,2018,FY,2019-02-12,2020-02-12,105671839.0,105671839.0,1390593309,-618004326,772588983,-891690624,-592804067,-298886557.0,,-119101641,35459690,38140513,-83641951,,-83641951,,-83641951,,-83641951,-83641951
SHOP,2019-12-31,1202864,CAD,2019,FY,2020-02-12,2021-02-17,113026424.0,113026424.0,2094357155,-945582204,1148774951,-1302686691,-831554436,-471132255.0,,-153911740,60159057,63941226,-93752683,-33401202.0,-127153885,-38521065.0,-165674950,,-165674950,-165674950
